2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000988: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz301308: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000021: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600522: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh601991: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz001309: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300136: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300058: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300433: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002131: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600487: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600118: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002371: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688041: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002475: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688981: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300750: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300302: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300604: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002050: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688521: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002156: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300475: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600183: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002428: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002407: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688820: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh603601: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh601728: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002149: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002463: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz301171: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002208: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300657: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688126: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300442: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300166: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh603019: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600578: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300857: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600105: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600111: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600186: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000938: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000066: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002185: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002709: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600703: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600396: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300408: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688808: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002600: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600900: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh601899: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300390: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002460: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688072: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600519: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300017: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002008: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300395: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688017: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002837: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688498: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002466: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh600330: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002409: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh601869: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002929: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300666: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300285: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300059: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002031: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300757: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688048: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300570: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000977: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002436: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300620: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz300548: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz002015: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsz000657: 腾讯格式异常
2026-05-19 12:34:06 | WARNING | services.data_service:96 | 行情获取失败 szsh688313: 腾讯格式异常
2026-05-19 12:34:07 | WARNING | services.data_service:96 | 行情获取失败 szsh600176: 腾讯格式异常
2026-05-19 12:34:07 | WARNING | services.data_service:96 | 行情获取失败 szsh688234: 腾讯格式异常
2026-05-19 12:34:07 | WARNING | services.data_service:96 | 行情获取失败 szsh603629: 腾讯格式异常
2026-05-19 12:34:07 | INFO    | services.picker_service:52 |   → 候选池A: 0只
2026-05-19 12:34:20 | ERROR   | services.chanservice:641 | 缠论分析异常: name 'zstop' is not defined
